Datos 1:Tiempo(s),Datos 1:Potencial(V),Datos 1:Campo magnético X(mT),Datos 1:Campo magnético Y(mT),Datos 1:Campo magnético Z(mT),Datos 1:Luminancia(lux),Datos 1:Intensidad UV,Datos 1:615 nm,Datos 1:525 nm,Datos 1:465 nm
0,0.015262603759765625,-0.023017499595880508,0.0047250008210539818,0.018439503386616707,37.191932678222656,0,0,6.4916329383850098,28.151468276977539
0.050000000000000003,0.013845443725585938,-0.019567498937249184,-0.0017249986995011568,0.01903950423002243,37.390819549560547,0,0,6.4916329383850098,28.151468276977539
0.10000000000000001,0.013845443725585938,-0.019567498937249184,-0.0014249995583668351,0.019489504396915436,37.390819549560547,0,0,6.6719555854797363,28.612968444824219
0.14999999999999999,0.014553070068359375,-0.019867498427629471,-0.00097499939147382975,0.018439503386616707,37.390819549560547,0,0,6.6719555854797363,28.612968444824219
0.20000000000000001,0.015262603759765625,-0.025267496705055237,0.0056250011548399925,0.018289502710103989,37.390819549560547,0,0,6.6719555854797363,28.612968444824219
0.25,0.014553070068359375,-0.019717495888471603,-0.00082499830750748515,0.02008950337767601,37.390819549560547,0,0,6.6719555854797363,28.612968444824219
0.29999999999999999,0.014553070068359375,-0.025417497381567955,0.0053250016644597054,0.017839502543210983,37.390819549560547,0,0,6.311309814453125,29.997467041015625
0.34999999999999998,0.013845443725585938,-0.024667497724294662,0.0054750009439885616,0.017839502543210983,37.390819549560547,0,0,6.311309814453125,29.997467041015625
0.40000000000000002,0.014553070068359375,-0.023317497223615646,0.0039750011637806892,0.018589504063129425,37.589706420898438,0,0,6.6719555854797363,28.612968444824219
0.45000000000000001,0.015262603759765625,-0.023017499595880508,0.0014250010717660189,0.018589504063129425,37.390819549560547,0,0,6.6719555854797363,28.612968444824219
0.5,0.014553070068359375,-0.021367499604821205,0.00037500113830901682,0.018889503553509712,37.390819549560547,0,0,6.6719555854797363,28.612968444824219
0.55000000000000004,0.015262603759765625,-0.019867498427629471,-0.00037499814061447978,0.018889503553509712,37.589706420898438,0,0,6.6719555854797363,28.612968444824219
0.59999999999999998,0.014553070068359375,-0.019417498260736465,-0.0014249995583668351,0.018739502876996994,37.589706420898438,0,0,6.4916329383850098,28.151468276977539
0.65000000000000002,0.015262603759765625,-0.019567498937249184,-0.0012749985326081514,0.019189503043889999,37.589706420898438,0,0,6.4916329383850098,28.151468276977539
0.69999999999999996,0.014553070068359375,-0.02496749721467495,0.0056250011548399925,0.017989503219723701,37.589706420898438,0,0,6.6719555854797363,28.612968444824219
0.75,0.014553070068359375,-0.025117497891187668,0.005925001110881567,0.018589504063129425,37.589706420898438,0,0,6.6719555854797363,28.612968444824219
0.80000000000000004,0.015262603759765625,-0.019867498427629471,-0.0018749982118606567,0.019789503887295723,37.589706420898438,0,0,6.4916329383850098,28.151468276977539
0.84999999999999998,0.015262603759765625,-0.020017499104142189,-0.00082499830750748515,0.017689503729343414,37.589706420898438,0,0,6.4916329383850098,28.151468276977539
0.90000000000000002,0.015262603759765625,-0.024217497557401657,0.0057750009000301361,0.017839502543210983,37.589706420898438,0,0,5.9506640434265137,29.074468612670898
0.94999999999999996,0.015262603759765625,-0.024517497047781944,0.0053250016644597054,0.017089502885937691,37.589706420898438,0,0,5.9506640434265137,29.074468612670898
1,0.015262603759765625,-0.023617496713995934,0.0032250010408461094,0.018589504063129425,37.589706420898438,0,0,6.4916329383850098,30.458967208862305
1.05,0.014553070068359375,-0.022567499428987503,0.00067500100703909993,0.018289502710103989,37.589706420898438,0,0,6.4916329383850098,30.458967208862305
1.1000000000000001,0.015262603759765625,-0.021217498928308487,0.00022500082559417933,0.018889503553509712,37.589706420898438,0,0,6.6719555854797363,28.612968444824219
1.1499999999999999,0.015262603759765625,-0.020467499271035194,-0.001574999070726335,0.018439503386616707,37.589706420898438,0,0,6.6719555854797363,28.612968444824219
1.2,0.014553070068359375,-0.019417498260736465,-0.00052499922458082438,0.019339503720402718,37.788593292236328,0,0,6.6719555854797363,28.612968444824219
1.25,0.015262603759765625,-0.02481750026345253,0.005925001110881567,0.018439503386616707,37.788593292236328,0,0,6.6719555854797363,28.612968444824219
1.3,0.014553070068359375,-0.01896749809384346,-0.0017249986995011568,0.019189503043889999,37.788593292236328,0,0,6.6719555854797363,28.612968444824219
1.3500000000000001,0.015262603759765625,-0.019117498770356178,-0.00097499939147382975,0.018889503553509712,37.788593292236328,0,0,6.6719555854797363,28.612968444824219
1.3999999999999999,0.014553070068359375,-0.019567498937249184,-0.0011249989038333297,0.01903950423002243,37.788593292236328,0,0,5.9506640434265137,29.074468612670898
1.45,0.015262603759765625,-0.024517497047781944,0.0053250016644597054,0.017689503729343414,37.788593292236328,0,0,5.9506640434265137,29.074468612670898
1.5,0.014553070068359375,-0.024517497047781944,0.0057750009000301361,0.018289502710103989,37.788593292236328,0,0,6.311309814453125,29.997467041015625
1.55,0.015262603759765625,-0.023167496547102928,0.0041250013746321201,0.01813950389623642,37.788593292236328,0,0,6.311309814453125,29.997467041015625
1.6000000000000001,0.014553070068359375,-0.022717496380209923,0.0018750012386590242,0.018739502876996994,37.788593292236328,0,0,5.9506640434265137,29.074468612670898
1.6499999999999999,0.015262603759765625,-0.021667499095201492,0.00067500100703909993,0.018289502710103989,37.788593292236328,0,0,5.9506640434265137,29.074468612670898
1.7,0.014553070068359375,-0.0209174994379282,-0.00067499873694032431,0.017989503219723701,37.788593292236328,0,0,6.311309814453125,29.997467041015625
