Datos 1:Tiempo(s),Datos 1:Potencial(V),Datos 1:Campo magnético X(mT),Datos 1:Luminancia(lux),Datos 1:Campo magnético Y(mT),Datos 1:Campo magnético Z(mT),Datos 1:Intensidad UV,Datos 1:615 nm,Datos 1:525 nm,Datos 1:465 nm
0,-0.009555816650390625,-0.032917499542236328,14.51877498626709,0.02722499892115593,-0.010810496285557747,0,0,1.8032313585281372,9.2299900054931641
0.050000000000000003,-0.010972976684570312,-0.027817497029900551,14.51877498626709,0.02812499925494194,-0.016960496082901955,0,0,1.8032313585281372,9.2299900054931641
0.10000000000000001,-0.010265350341796875,-0.025267496705055237,14.51877498626709,0.026324998587369919,-0.02821049652993679,0,0,1.8032313585281372,9.2299900054931641
0.14999999999999999,-0.010972976684570312,-0.033067498356103897,14.51877498626709,0.028275001794099808,-0.025510495528578758,0,0,1.8032313585281372,9.2299900054931641
0.20000000000000001,-0.010265350341796875,-0.01401749812066555,14.51877498626709,0.027375001460313797,-0.02536049485206604,0,0,1.8032313585281372,9.2299900054931641
0.25,-0.010972976684570312,-0.030367497354745865,14.51877498626709,0.031575001776218414,-0.016660496592521667,0,0,1.8032313585281372,9.2299900054931641
0.29999999999999999,-0.010265350341796875,-0.028417497873306274,14.51877498626709,0.031875003129243851,-0.013510497286915779,0,0,1.8032313585281372,9.2299900054931641
0.34999999999999998,-0.010972976684570312,-0.028717497363686562,14.51877498626709,0.029924999922513962,-0.011110496707260609,0,0,1.8032313585281372,9.2299900054931641
0.40000000000000002,-0.010265350341796875,-0.031417496502399445,14.51877498626709,0.029325002804398537,-0.010360496118664742,0,0,1.8032313585281372,9.2299900054931641
0.45000000000000001,-0.010265350341796875,-0.03666749969124794,14.51877498626709,0.026475001126527786,-0.011260496452450752,0,0,1.8032313585281372,9.2299900054931641
0.5,-0.010972976684570312,-0.038917500525712967,14.51877498626709,0.029175002127885818,-0.029860496520996094,0,0,1.8032313585281372,9.2299900054931641
0.55000000000000004,-0.010265350341796875,-0.031567499041557312,14.51877498626709,0.027974998578429222,-0.015310496091842651,0,0,1.8032313585281372,9.2299900054931641
0.59999999999999998,-0.010972976684570312,-0.022117499262094498,14.51877498626709,0.027525002136826515,-0.018160495907068253,0,0,1.8032313585281372,9.2299900054931641
0.65000000000000002,-0.010265350341796875,-0.016567498445510864,14.51877498626709,0.027825001627206802,-0.021010497584939003,0,0,1.8032313585281372,9.2299900054931641
0.69999999999999996,-0.010265350341796875,-0.033367499709129333,14.51877498626709,0.029175002127885818,-0.023110497742891312,0,0,2.344200611114502,10.61448860168457
0.75,-0.010972976684570312,-0.030517498031258583,14.51877498626709,0.030825000256299973,-0.019060496240854263,0,0,2.344200611114502,10.61448860168457
0.80000000000000004,-0.010265350341796875,-0.028717497363686562,14.51877498626709,0.031575001776218414,-0.015010496601462364,0,0,1.8032313585281372,9.2299900054931641
0.84999999999999998,-0.010972976684570312,-0.028267497196793556,14.51877498626709,0.031424999237060547,-0.01141049712896347,0,0,1.8032313585281372,9.2299900054931641
0.90000000000000002,-0.010972976684570312,-0.030517498031258583,14.319888114929199,0.029474999755620956,-0.010660497471690178,0,0,1.8032313585281372,9.2299900054931641
0.94999999999999996,-0.010972976684570312,-0.03471750020980835,14.319888114929199,0.026775002479553223,-0.010810496285557747,0,0,1.8032313585281372,9.2299900054931641
1,-0.010972976684570312,-0.039817500859498978,14.319888114929199,0.026324998587369919,-0.013360497541725636,0,0,1.8032313585281372,9.2299900054931641
1.05,-0.010972976684570312,-0.032917499542236328,14.319888114929199,0.02812499925494194,-0.015160496346652508,0,0,1.8032313585281372,9.2299900054931641
1.1000000000000001,-0.010972976684570312,-0.020017499104142189,14.319888114929199,0.026175001636147499,-0.028810495510697365,0,0,1.8032313585281372,9.2299900054931641
1.1499999999999999,-0.010972976684570312,-0.01701749861240387,14.319888114929199,0.027825001627206802,-0.021010497584939003,0,0,1.8032313585281372,9.2299900054931641
1.2,-0.010972976684570312,-0.014917498454451561,14.319888114929199,0.027525002136826515,-0.024160496890544891,0,0,2.344200611114502,10.61448860168457
1.25,-0.010972976684570312,-0.014617498032748699,14.319888114929199,0.02707500196993351,-0.026860496029257774,0,0,2.344200611114502,10.61448860168457
1.3,-0.010972976684570312,-0.028417497873306274,14.319888114929199,0.031725000590085983,-0.015760496258735657,0,0,1.8032313585281372,9.2299900054931641
1.3500000000000001,-0.010972976684570312,-0.027967497706413269,14.319888114929199,0.031275000423192978,-0.012460497207939625,0,0,1.8032313585281372,9.2299900054931641
1.3999999999999999,0.0010814666748046875,-0.029917499050498009,14.319888114929199,0.029474999755620956,-0.010810496285557747,0,0,2.5245239734649658,8.7684907913208008
1.45,0.11311912536621094,-0.032767497003078461,14.319888114929199,0.027825001627206802,-0.01141049712896347,0,0,2.5245239734649658,8.7684907913208008
1.5,0.012426376342773438,-0.053167499601840973,14.319888114929199,0.026175001636147499,-0.02731049619615078,0,0,1.8032313585281372,9.2299900054931641
1.55,0.012426376342773438,-0.044917501509189606,14.319888114929199,0.027675002813339233,-0.022960495203733444,0,0,1.8032313585281372,9.2299900054931641
1.6000000000000001,0.012426376342773438,-0.030967498198151588,14.319888114929199,0.027974998578429222,-0.020110497251152992,0,0,1.8032313585281372,9.2299900054931641
1.6499999999999999,0.011716842651367188,-0.02196749672293663,14.319888114929199,0.028874998912215233,-0.021910497918725014,0,0,1.8032313585281372,9.2299900054931641
1.7,0.011716842651367188,-0.035617496818304062,14.121000289916992,0.027375001460313797,-0.027160495519638062,0,0,1.8032313585281372,9.2299900054931641
